dataset,family,channels,windows,n_val,residual_neff,residual_neff_ratio,residual_tau,score_neff,score_neff_ratio,score_tau,selected,neg_pool,top25_reduction
ETTh1,ETT,7,5000,500,17.664806893095477,0.035329613786190955,28.304866451465802,9.489119255908498,0.018978238511816996,52.6919291997168,single_smooth,"single_spectral,single_period,single_smooth,single_channel,sign_linear,ridge_risk",0.033772289752960205
ETTh2,ETT,7,5000,500,24.323360212941047,0.04864672042588209,20.556370321481282,17.14223088901044,0.03428446177802088,29.16773220692883,ridge_risk,"single_spectral,single_period,single_smooth,single_channel,sign_linear,ridge_risk",0.18736684322357178
ETTm1,ETT,7,5000,500,15.754454277825975,0.03150890855565195,31.73705614822459,14.078225599981527,0.028156451199963056,35.51583943935776,ridge_risk,"single_spectral,single_period,single_smooth,single_channel,sign_linear,ridge_risk",0.45412033796310425
ETTm2,ETT,7,5000,500,75.11199892807417,0.15022399785614834,6.656726050904204,31.437842457371634,0.06287568491474327,15.904399313597253,ridge_risk,"single_spectral,single_period,single_smooth,single_channel,sign_linear,ridge_risk",0.19174224138259888
Weather,Weather,21,5000,500,13.262289194009053,0.026524578388018107,37.700882003528015,13.03528828751161,0.02607057657502322,38.357417877671516,ridge_risk,"single_spectral,single_period,single_smooth,single_channel,sign_linear,ridge_risk",0.13993346691131592
Exchange,Exchange,8,5000,500,13.294591080789933,0.026589182161579867,37.60928011712047,9.928385758731947,0.019856771517463893,50.36065400261603,ridge_risk,"single_spectral,single_period,single_smooth,single_channel,sign_linear,ridge_risk",-0.17776834964752197
Electricity,Electricity,321,5000,500,5.623284731144778,0.011246569462289555,88.91600264001055,4.994477075568742,0.009988954151137484,100.11058063432255,ridge_risk,"single_spectral,single_smooth,single_channel,sign_linear,ridge_risk",0.7375587224960327
Illness,Illness,7,907,91,13.081190104440912,0.143749341807043,6.956553591336201,11.793179885574645,0.12959538335796314,7.7163242554546905,ridge_risk,"fixed_formula,single_spectral,single_period,single_smooth,single_channel,sign_linear,ridge_risk",0.36927103996276855
