family,runs,n_val,residual_neff_ratio,score_neff_ratio,top25_reduction
ETT,4,500.0,0.06642731015596834,0.03607370910113605,0.21675042808055878
Electricity,1,500.0,0.011246569462289555,0.009988954151137484,0.7375587224960327
Exchange,1,500.0,0.026589182161579867,0.019856771517463893,-0.17776834964752197
Illness,1,91.0,0.143749341807043,0.12959538335796314,0.36927103996276855
Weather,1,500.0,0.026524578388018107,0.02607057657502322,0.13993346691131592
